__time,/Angular_Velocity/angular_velocity_1,/Angular_Velocity/angular_velocity_2,/Angular_Velocity/angular_velocity_3,/Angular_Velocity/angular_velocity_4,/Angular_Velocity/angular_velocity_5,/Angular_Velocity/angular_velocity_6,/Angular_Velocity/garbage_data,/Angular_Velocity/index,/Angular_Velocity/recent_ts_1,/Angular_Velocity/recent_ts_2,/Angular_Velocity/recent_ts_3,/Angular_Velocity/recent_ts_4,/Angular_Velocity/recent_ts_5,/Angular_Velocity/recent_ts_6,/Angular_Velocity/timestamp,/ft300_data/exp_filtered/header/stamp,/ft300_data/exp_filtered/wrench/force/x,/ft300_data/exp_filtered/wrench/force/y,/ft300_data/exp_filtered/wrench/force/z,/ft300_data/exp_filtered/wrench/torque/x,/ft300_data/exp_filtered/wrench/torque/y,/ft300_data/exp_filtered/wrench/torque/z,/ft300_data/lowpass_filtered/header/stamp,/ft300_data/lowpass_filtered/wrench/force/x,/ft300_data/lowpass_filtered/wrench/force/y,/ft300_data/lowpass_filtered/wrench/force/z,/ft300_data/lowpass_filtered/wrench/torque/x,/ft300_data/lowpass_filtered/wrench/torque/y,/ft300_data/lowpass_filtered/wrench/torque/z,/ft300_data/raw/header/stamp,/ft300_data/raw/wrench/force/x,/ft300_data/raw/wrench/force/y,/ft300_data/raw/wrench/force/z,/ft300_data/raw/wrench/torque/x,/ft300_data/raw/wrench/torque/y,/ft300_data/raw/wrench/torque/z
1698354363.241676,0.000000000,0.000000000,0.000000000,0.000000000,9.715042936,0.458835214,30427.000000000,2.000000000,0.000000000,0.000000000,0.000000000,0.000000000,5141322.000000000,1769685.000000000,5187237.000000000,,,,,,,,,,,,,,,,,,,,,
1698354363.342189,0.000000000,0.000000000,0.000000000,0.000000000,9.715042936,0.458835214,12940.000000000,3.000000000,0.000000000,0.000000000,0.000000000,0.000000000,5141322.000000000,1769685.000000000,5191437.000000000,,,,,,,,,,,,,,,,,,,,,
1698354363.442618,0.000000000,0.000000000,0.000000000,0.000000000,9.472812442,0.458835214,65521.000000000,121.000000000,0.000000000,0.000000000,0.000000000,0.000000000,6293444.000000000,1769685.000000000,6369834.000000000,,,,,,,,,,,,,,,,,,,,,
1698354363.543358,0.000000000,0.000000000,0.000000000,0.000000000,9.472812442,0.458835214,6724.000000000,122.000000000,0.000000000,0.000000000,0.000000000,0.000000000,6293444.000000000,1769685.000000000,6380105.000000000,,,,,,,,,,,,,,,,,,,,,
1698354363.643601,0.000000000,0.000000000,0.000000000,0.000000000,9.472812442,0.458835214,28704.000000000,123.000000000,0.000000000,0.000000000,0.000000000,0.000000000,6293444.000000000,1769685.000000000,6384738.000000000,,,,,,,,,,,,,,,,,,,,,
1698354363.744134,0.000000000,0.000000000,0.000000000,0.000000000,9.472812442,0.458835214,60121.000000000,124.000000000,0.000000000,0.000000000,0.000000000,0.000000000,6293444.000000000,1769685.000000000,6389397.000000000,,,,,,,,,,,,,,,,,,,,,
1698354363.824026,,,,,,,,,,,,,,,,1698354364.295328617,0.050232530,-1.942836628,8.176162695,0.070093853,-0.088443795,-0.119556996,,,,,,,,,,,,,,
1698354363.824248,,,,,,,,,,,,,,,,1698354364.299356937,-0.019825602,-2.049627471,8.044930156,0.069046926,-0.084721897,-0.115622799,,,,,,,,,,,,,,
1698354363.844502,0.000000000,0.000000000,0.000000000,0.000000000,9.472812442,0.458835214,38145.000000000,125.000000000,0.000000000,0.000000000,0.000000000,0.000000000,6293444.000000000,1769685.000000000,6393863.000000000,,,,,,,,,,,,,,,,,,,,,
1698354363.895028,,,,,,,,,,,,,,,,1698354364.307965517,0.342630798,-2.482220603,8.729944125,0.107023463,-0.128860949,-0.094849119,,,,,,,,,,,,,,
