__time,/Angular_Velocity/angular_velocity_1,/Angular_Velocity/angular_velocity_2,/Angular_Velocity/angular_velocity_3,/Angular_Velocity/angular_velocity_4,/Angular_Velocity/angular_velocity_5,/Angular_Velocity/angular_velocity_6,/Angular_Velocity/garbage_data,/Angular_Velocity/index,/Angular_Velocity/recent_ts_1,/Angular_Velocity/recent_ts_2,/Angular_Velocity/recent_ts_3,/Angular_Velocity/recent_ts_4,/Angular_Velocity/recent_ts_5,/Angular_Velocity/recent_ts_6,/Angular_Velocity/timestamp,/ft300_data/exp_filtered/header/stamp,/ft300_data/exp_filtered/wrench/force/x,/ft300_data/exp_filtered/wrench/force/y,/ft300_data/exp_filtered/wrench/force/z,/ft300_data/exp_filtered/wrench/torque/x,/ft300_data/exp_filtered/wrench/torque/y,/ft300_data/exp_filtered/wrench/torque/z,/ft300_data/lowpass_filtered/header/stamp,/ft300_data/lowpass_filtered/wrench/force/x,/ft300_data/lowpass_filtered/wrench/force/y,/ft300_data/lowpass_filtered/wrench/force/z,/ft300_data/lowpass_filtered/wrench/torque/x,/ft300_data/lowpass_filtered/wrench/torque/y,/ft300_data/lowpass_filtered/wrench/torque/z,/ft300_data/raw/header/stamp,/ft300_data/raw/wrench/force/x,/ft300_data/raw/wrench/force/y,/ft300_data/raw/wrench/force/z,/ft300_data/raw/wrench/torque/x,/ft300_data/raw/wrench/torque/y,/ft300_data/raw/wrench/torque/z
1698353867.791420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,-3.030000000,-3.330000000,7.310000000,0.066000000,-0.077000000,-0.143000000
1698353867.791595,,,,,,,,,,,,,,,,1698353868.476236343,-2.231040935,-2.922363610,9.010706759,0.073012271,-0.090788669,-0.153889852,,,,,,,,,,,,,,
1698353867.791647,,,,,,,,,,,,,,,,,,,,,,,0.000000000,-1.991140734,-2.902694261,9.457784661,0.086946678,-0.120511611,-0.135439818,,,,,,,
1698353867.797243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,-2.160000000,-4.380000000,7.460000000,0.089000000,-0.111000000,-0.122000000
1698353867.797440,,,,,,,,,,,,,,,,1698353868.485036373,-2.213280701,-3.286772707,8.700565407,0.081006135,-0.100894334,-0.134755941,,,,,,,,,,,,,,
1698353867.797492,,,,,,,,,,,,,,,,,,,,,,,0.000000000,-2.037076361,-2.923554384,9.321708934,0.085902025,-0.117460987,-0.138292575,,,,,,,
1698353867.806627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,-1.520000000,-4.010000000,8.350000000,0.100000000,-0.123000000,-0.137000000
1698353867.806756,,,,,,,,,,,,,,,,1698353868.495337486,-2.039960526,-3.467579530,8.630452326,0.090503068,-0.111947167,-0.136102376,,,,,,,,,,,,,,
1698353867.806857,,,,,,,,,,,,,,,,,,,,,,,0.000000000,-2.074449985,-3.009907159,9.133263931,0.085337985,-0.114980409,-0.139354795,,,,,,,
1698353867.816782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,-2.440000000,-2.980000000,8.090000000,0.083000000,-0.102000000,-0.148000000
1698353867.816956,,,,,,,,,,,,,,,,1698353868.504527092,-2.139970395,-3.345684648,8.522361861,0.086751534,-0.106973584,-0.143240951,,,,,,,,,,,,,,
1698353867.817007,,,,,,,,,,,,,,,,,,,,,,,0.000000000,-2.083676408,-3.113913386,8.957445202,0.085551264,-0.113609554,-0.139706796,,,,,,,
1698353867.827275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000000,-2.360000000,-2.660000000,7.960000000,0.054000000,-0.115000000,-0.128000000
1698353867.827445,,,,,,,,,,,,,,,,1698353868.513638020,-2.194977796,-3.174263486,8.409889488,0.070375767,-0.110986792,-0.134096380,,,,,,,,,,,,,,
